"","species","Mean_Root_diameter","Root_C_concentration","Root_C_N_ratio","Root_N_concentration","Root_tissue_density","Specific_root_length","Root_mass_fraction","Root_branching_density","Root_branching_ratio","Root_Ca_concentration","Root_K_concentration","Root_length_density_volume","Root_lifespan_mean","Root_lifespan_median","Root_lignin_concentration","Root_litter_mass_loss_rate","Root_Mg_concentration","Root_Mn_concentration","Root_mycorrhizal colonization","Root_P_concentration","Root_stele_diameter","Root_stele_fraction","Root_total_structural_carbohydrate_concentration","Specific_root_area","Root_production","Root_turnover_rate","Rooting_depth","Specific_root_respiration","Root_mass_density","Coarse_root_fine_root_mass_ratio","Fine_root_mass_leaf_mass_ratio","Root_dry_matter_content","Root_cortex_thickness","Root_vessel_diameter","Root_xylem_vessel_number","Lateral_spread","Root_N_P_ratio","Net_nitrogen_uptake_rate"
"1","Abelia biflora",0.5292,559.3585447,29.21362975,19.14759733,0.146696035,30.94705706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Abelmoschus esculentus",NA,NA,NA,NA,NA,NA,0.453333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Abies alba",1.20556666666667,484.18,37.5200813,10.835,0.2215,39.295,NA,1.8,2.76,5.9,1.8,4.42224,912.51625,412.7325,341.2,0.24,1.3,0.4,7,1.4,853.37,0.294938458111111,252.6,280.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Abies amabilis",NA,NA,51.5,7.10916949432018,NA,NA,0.19935,NA,NA,3.13920744233333,1.82622290555556,NA,NA,NA,NA,NA,0.946608244333333,NA,NA,1.16230914141667,NA,NA,NA,NA,883.125,0.580503210625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Abies balsamea",NA,497.2,NA,9.08344906342857,NA,NA,0.2287741376,NA,NA,3.2,1.46,NA,NA,NA,NA,NA,0.69,NA,11,0.84,NA,NA,NA,NA,NA,NA,1.17521,3.6173975634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Abies cephalonica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Abies cilicica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Abies concolor",NA,451,NA,16,NA,32.1448559166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.339,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Abies fargesii",0.578735413833333,447.886589375,76.845,6.18,NA,14.4272334575,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.828,NA,NA,NA,1.135,NA,NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Abies firma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
